"device_id","timestamp","product_id"
"2","2025-08-21 20:01:38.293834+00","4"
"2","2025-08-21 20:05:33.429853+00","4"
"2","2025-08-21 20:09:28.67203+00","4"
"2","2025-08-21 20:13:23.836882+00","4"
"2","2025-08-21 20:14:50.143117+00","4"
"2","2025-08-21 20:17:19.411114+00","4"
"2","2025-08-21 20:21:15.040047+00","4"
"2","2025-08-21 20:24:10.54076+00","4"
"2","2025-08-21 20:25:10.1617+00","4"
"2","2025-08-21 20:29:05.628021+00","4"
"2","2025-08-21 20:33:01.141409+00","4"
"2","2025-08-21 20:36:56.477041+00","4"
"2","2025-08-21 20:40:52.018663+00","4"
"2","2025-08-21 20:44:48.029636+00","4"
"2","2025-08-21 20:45:52.722389+00","4"
"2","2025-08-21 20:48:42.68373+00","4"
"2","2025-08-21 20:52:38.244544+00","4"
"2","2025-08-21 20:56:33.696208+00","4"
"2","2025-08-21 20:57:13.723973+00","4"
"2","2025-08-21 21:00:28.8552+00","4"
"2","2025-08-21 21:04:24.492772+00","4"
"2","2025-08-21 21:08:20.103138+00","4"
"2","2025-08-21 21:12:15.962751+00","4"
"2","2025-08-21 21:16:11.749993+00","4"
"2","2025-08-21 21:18:15.360844+00","4"
"2","2025-08-21 21:20:07.191018+00","4"
"2","2025-08-21 21:24:05.230742+00","4"
"2","2025-08-21 21:27:58.639294+00","4"
"2","2025-08-21 21:31:54.377828+00","4"
"2","2025-08-21 21:35:50.46198+00","4"
"2","2025-08-21 21:39:46.139799+00","4"
"2","2025-08-21 21:43:41.476173+00","4"
"2","2025-08-21 21:47:36.930806+00","4"
"2","2025-08-21 21:51:32.42512+00","4"
"2","2025-08-21 21:55:27.875289+00","4"
"2","2025-08-21 21:59:22.911871+00","4"
"2","2025-08-21 22:03:18.120662+00","4"
"2","2025-08-21 22:07:13.201882+00","4"
"2","2025-08-21 22:11:11.271298+00","4"
"2","2025-08-21 22:15:03.858943+00","4"
"2","2025-08-21 22:19:05.699753+00","4"
"2","2025-08-21 22:22:54.203872+00","4"
"2","2025-08-21 22:26:49.446938+00","4"
